Common Name,Scientific.Name
Cotton,Gossypium hirsutum
Banana,Musa balbisiana
Apple,Malus pumila
Onion,Allium cepa
Potato,Solanum tubersum
Cucumber,Cucumis sativas
Lettuce,Lactuca sativa
Carrot,Daucas carota
Tomato,Lycopersican esculentum
Brinjal,Solanum melongena
Radish,Raphanus sativus
Capsicum,Capsicum fruitscence
Spinach,Spinacia oleracea
Maize,Zea mays
Rice,Oryza sativa
Wheat,Triticum aestivum
Ginger,Zingiber officinale
Garlic,Allium sativum
Black Pepper,Piper nigrum
Clove,Syzygium aromaticum
Turmeric,Curcuma longa
Curry plant (leaves),Murraya koenigii
Mint (Pudina),Mentha arvensis
Coriander,Coriandrum sativum
Orange,Citrus aurantium